,group,col_num,original_col_name,short_col_name,data_type,transf_col_name,values_desc,values,categorical_values
0,MUSIC PREFERENCES,0,I enjoy listening to music.,Music,Integer,music,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
1,MUSIC PREFERENCES,1,I prefer.,Slow songs or fast songs,Integer,slow_songs_or_fast_songs,Slow paced music 1-2-3-4-5 Fast paced music ,"1,2,3,4,5",
2,MUSIC PREFERENCES,2,"Dance, Disco, Funk",Dance,Integer,dance,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
3,MUSIC PREFERENCES,3,Folk music,Folk,Integer,folk,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
4,MUSIC PREFERENCES,4,Country,Country,Integer,country,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
5,MUSIC PREFERENCES,5,Classical,Classical music,Integer,classical_music,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
6,MUSIC PREFERENCES,6,Musicals,Musical,Integer,musical,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
7,MUSIC PREFERENCES,7,Pop,Pop,Integer,pop,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
8,MUSIC PREFERENCES,8,Rock,Rock,Integer,rock,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
9,MUSIC PREFERENCES,9,"Metal, Hard rock",Metal or Hardrock,Integer,metal_or_hardrock,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
10,MUSIC PREFERENCES,10,Punk,Punk,Integer,punk,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
11,MUSIC PREFERENCES,11,"Hip hop, Rap","Hiphop, Rap",Integer,hiphop_rap,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
12,MUSIC PREFERENCES,12,"Reggae, Ska","Reggae, Ska",Integer,reggae_ska,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
13,MUSIC PREFERENCES,13,"Swing, Jazz","Swing, Jazz",Integer,swing_jazz,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
14,MUSIC PREFERENCES,14,Rock n Roll,Rock n roll,Integer,rock_n_roll,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
15,MUSIC PREFERENCES,15,Alternative music,Alternative,Integer,alternative,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
16,MUSIC PREFERENCES,16,Latin,Latino,Integer,latino,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
17,MUSIC PREFERENCES,17,"Techno, Trance","Techno, Trance",Integer,techno_trance,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
18,MUSIC PREFERENCES,18,Opera,Opera,Integer,opera,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
19,MOVIE PREFERENCES,19,I really enjoy watching movies.,Movies,Integer,movies,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
20,MOVIE PREFERENCES,20,Horror movies,Horror,Integer,horror,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
21,MOVIE PREFERENCES,21,Thriller movies,Thriller,Integer,thriller,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
22,MOVIE PREFERENCES,22,Comedies,Comedy,Integer,comedy,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
23,MOVIE PREFERENCES,23,Romantic movies,Romantic,Integer,romantic,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
24,MOVIE PREFERENCES,24,Sci-fi movies,Sci-fi,Integer,scifi,Don't enjoy at all 1-2-3-4-5 Enjoy very much ,"1,2,3,4,5",
