group,col_num,original_col_name,short_col_name,data_type
MUSIC PREFERENCES,0,I enjoy listening to music.,Music,Integer
MUSIC PREFERENCES,1,I prefer.,Slow songs or fast songs,Integer
MUSIC PREFERENCES,2,"Dance, Disco, Funk",Dance,Integer
MUSIC PREFERENCES,3,Folk music,Folk,Integer
MUSIC PREFERENCES,4,Country,Country,Integer
MUSIC PREFERENCES,5,Classical,Classical music,Integer
MUSIC PREFERENCES,6,Musicals,Musical,Integer
MUSIC PREFERENCES,7,Pop,Pop,Integer
MUSIC PREFERENCES,8,Rock,Rock,Integer
MUSIC PREFERENCES,9,"Metal, Hard rock",Metal or Hardrock,Integer
MUSIC PREFERENCES,10,Punk,Punk,Integer
MUSIC PREFERENCES,11,"Hip hop, Rap","Hiphop, Rap",Integer
MUSIC PREFERENCES,12,"Reggae, Ska","Reggae, Ska",Integer
MUSIC PREFERENCES,13,"Swing, Jazz","Swing, Jazz",Integer
MUSIC PREFERENCES,14,Rock n Roll,Rock n roll,Integer
MUSIC PREFERENCES,15,Alternative music,Alternative,Integer
MUSIC PREFERENCES,16,Latin,Latino,Integer
MUSIC PREFERENCES,17,"Techno, Trance","Techno, Trance",Integer
MUSIC PREFERENCES,18,Opera,Opera,Integer
MOVIE PREFERENCES,19,I really enjoy watching movies.,Movies,Integer
MOVIE PREFERENCES,20,Horror movies,Horror,Integer
MOVIE PREFERENCES,21,Thriller movies,Thriller,Integer
MOVIE PREFERENCES,22,Comedies,Comedy,Integer
MOVIE PREFERENCES,23,Romantic movies,Romantic,Integer
MOVIE PREFERENCES,24,Sci-fi movies,Sci-fi,Integer
MOVIE PREFERENCES,25,War movies,War,Integer
MOVIE PREFERENCES,26,Tales,Fantasy/Fairy tales,Integer
MOVIE PREFERENCES,27,Cartoons,Animated,Integer
MOVIE PREFERENCES,28,Documentaries,Documentary,Integer
MOVIE PREFERENCES,29,Western movies,Western,Integer
MOVIE PREFERENCES,30,Action movies,Action,Integer
HOBBIES & INTERESTS,31,History,History,Integer
HOBBIES & INTERESTS,32,Psychology,Psychology,Integer
HOBBIES & INTERESTS,33,Politics,Politics,Integer
HOBBIES & INTERESTS,34,Mathematics,Mathematics,Integer
HOBBIES & INTERESTS,35,Physics,Physics,Integer
HOBBIES & INTERESTS,36,Internet,Internet,Integer
HOBBIES & INTERESTS,37,"PC Software, Hardware",PC,Integer
HOBBIES & INTERESTS,38,"Economy, Management",Economy Management,Integer
HOBBIES & INTERESTS,39,Biology,Biology,Integer
HOBBIES & INTERESTS,40,Chemistry,Chemistry,Integer
HOBBIES & INTERESTS,41,Poetry reading,Reading,Integer
HOBBIES & INTERESTS,42,Geography,Geography,Integer
HOBBIES & INTERESTS,43,Foreign languages,Foreign languages,Integer
HOBBIES & INTERESTS,44,Medicine,Medicine,Integer
HOBBIES & INTERESTS,45,Law,Law,Integer
HOBBIES & INTERESTS,46,Cars,Cars,Integer
HOBBIES & INTERESTS,47,Art,Art exhibitions,Integer
HOBBIES & INTERESTS,48,Religion,Religion,Integer
HOBBIES & INTERESTS,49,Outdoor activities,"Countryside, outdoors",Integer
